event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),quantity_lift,quantity_lift_pct,revenue_before_promo,discounted_price,revenue_after_promo,promo_effectiveness,is_successful_promo
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,18,52.94,6460,95.0,4940.0,-1520.0,Unsuccessful
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,-71,-18.07,61308,117.0,37674.0,-23634.0,Unsuccessful
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,63,286.36,6600,150.0,12750.0,6150.0,Successful
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,671,203.95,987000,2500.0,2500000.0,1513000.0,Successful
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,-15,-13.89,5940,41.25,3836.25,-2103.75,Unsuccessful
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,25,27.47,17290,95.0,11020.0,-6270.0,Unsuccessful
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,-5,-16.13,1550,37.5,975.0,-575.0,Unsuccessful
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,172,235.62,25550,175.0,42875.0,17325.0,Successful
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,49,163.33,35700,595.0,47005.0,11305.0,Successful
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,947,297.8,63600,100.0,126500.0,62900.0,Successful
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,-8,-10.26,32370,311.25,21787.5,-10582.5,Unsuccessful
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,176,139.68,378000,2500.0,755000.0,377000.0,Successful
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,53,34.42,9548,31.0,6417.0,-3131.0,Unsuccessful
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,-73,-21.28,99470,217.5,58725.0,-40745.0,Unsuccessful
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,132,37.93,299280,576.2,276576.0,-22704.0,Unsuccessful
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,124,288.37,12900,150.0,25050.0,12150.0,Successful
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,-6,-15.38,16185,311.25,10271.25,-5913.75,Unsuccessful
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,72,43.9,28208,115.24000000000001,27196.640000000003,-1011.359999999997,Unsuccessful
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,-6,-27.27,9130,311.25,4980.0,-4150.0,Unsuccessful
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,158,287.27,16500,150.0,31950.0,15450.0,Successful
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,126,300.0,42840,510.0,85680.0,42840.0,Successful
